,endangered species,animal,dish,tree,capital,official language,national day,national day info,anthem
United States,,"Bald Eagle",Hamburger,Oak,"Washington, D.C.",no official language,July 4,Independence Day: Independence from Great Britain in 1776,The Star-Spangled Banner
Brazil,"Spix Macaw",Rufous-Bellied Thrush,Feijoada,Pau Brazil,Brasília,Portuguese,September 7,Independence Day: Declaration of Independence from Portugal in 1822,Hino Nacional Brasileiro
Mexico,,Golden Eagle,Mole,Montezuma Bald Cypress,Mexico City,no official language,September 17,"Independence Day: Commemoration of ""El Grito de Dolores"" (The Cry of Dolores) that marked the beginning of the fight for independence from Spain in 1810",Himno Nacional Mexicano
Colombia,,Andean Condor,Bandeja Paisa,Quindio Wax Palm,Bogotá,Spanish,July 20,Independence Day: Declaration of Independence from Spain in 1810,Himno Nacional de la República de Colombia
Argentina,,Furnarius rufus,Asado,Cockspur Coral Tree,Buenos Aires,no official language,July 9,Independence Day: Declaration of Independence from Spain in 1816,Himno Nacional Argentino
Canada,,North American Beaver,Poutine,Maple,Ottawa,"['English', 'French']",July 1,Celebration of Canada’s confederation in 1867,O Canada
Peru,,Vicuña,Ceviche,Cinchona officinalis,Lima,Spanish,July 28,Independence Day: Declaration of independence from Spain in 1821,Himno Nacional del Perú
Venezuela,,Venezuelan Troupial,Pabellón Criollo,Araguaney,Caracas,Spanish,July 5,Declaration of independence from Spain in 1811,Gloria al Bravo Pueblo
Chile,,Huemul,Pastel de Choclo,Araucaria,Santiago,Spanish,September 18,"Independence Day: Commemoration of the creation of the first Government Junta in 1810, marking the start of independence from Spain.",Himno Nacional de Chile
Ecuador,,Andean Condor,Encebollado,Cinchona pubescens,Quito,Spanish,August 10,"Independence Day: ""Día del Primer Grito de Independencia de Quito"" (First Cry for Freedom) Declaration of independence from Spain in 1809","Salve, Oh Patria"
